
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
									1979-08-19T20:05:00.000	1	184	1	.353	1	304	3
									1979-08-19T20:20:00.000	1	184	1	.193	1	115	1
									1979-08-19T20:35:00.000	1	184	1	.182	1	53	1
									1979-08-19T20:50:00.000	1	184	1	.31	1	31	3
									1979-08-19T21:05:00.000	1	184	1	.362	1	346	3
									1979-08-19T21:20:00.000	1	184	1	.429	1	312	1
									1979-08-19T21:35:00.000	1	184	1	.432	1	298	1
									1979-08-19T21:50:00.000	1	184	1	.566	3	295	1
									1979-08-19T22:05:00.000	1	184	1	.417	1	304	1
									1979-08-19T22:20:00.000	1	184	1	.289	1	107	1
									1979-08-19T22:35:00.000	1	184	1	.284	1	90	3
									1979-08-19T22:50:00.000	1	184	1	.263	1	290	1
									1979-08-19T23:05:00.000	1	184	1	.365	1	304	1
									1979-08-19T23:20:00.000	1	184	1	.31	1	340	1
									1979-08-19T23:35:00.000	1	184	1	.22	1	338	1
									1979-08-19T23:50:00.000	1	184	1	.292	1	329	1
									1979-08-20T00:05:00.000	1	184	1	.188	1	259	1
									1979-08-20T00:20:00.000	1	184	1	.109	1	211	1
									1979-08-20T00:35:00.000	1	184	1	.039	1	200	3
									1979-08-20T00:50:00.000	1	184	1	.036	1	267	1
									1979-08-20T01:05:00.000	1	184	1	.042	1	259	1
									1979-08-20T01:20:00.000	1	184	1	.028	1	262	1
									1979-08-20T01:35:00.000	1	184	1	0	1	211	3
									1979-08-20T01:50:00.000	1	184	1	0	1	256	1
									1979-08-20T02:05:00.000	1	184	1	.031	1	349	3
									1979-08-20T02:20:00.000	1	184	1	.036	1	318	3
									1979-08-20T02:35:00.000	1	184	1	.039	1	340	3
									1979-08-20T02:50:00.000	1	184	1	0	1	90	3
									1979-08-20T03:05:00.000	1	184	1	.068	1	110	3
									1979-08-20T03:20:00.000	1	184	1	.121	1	96	3
									1979-08-20T03:35:00.000	1	184	1	.106	1	270	1
									1979-08-20T03:50:00.000	1	184	1	.124	1	281	1
									1979-08-20T04:05:00.000	1	184	1	.135	1	293	1
									1979-08-20T04:20:00.000	1	184	1	.147	1	293	1
									1979-08-20T04:35:00.000	1	184	1	.138	1	304	1
									1979-08-20T04:50:00.000	1	184	1	.167	1	307	1
									1979-08-20T05:05:00.000	1	184	1	.156	1	281	1
									1979-08-20T05:20:00.000	1	184	1	.103	1	281	1
									1979-08-20T05:35:00.000	1	184	1	.036	1	98	3
									1979-08-20T05:50:00.000	1	184	1	.048	1	278	1
									1979-08-20T06:05:00.000	1	184	1	.109	1	301	3
									1979-08-20T06:20:00.000	1	184	1	.217	1	284	3
									1979-08-20T06:35:00.000	1	184	1	.31	1	307	1
									1979-08-20T06:50:00.000	1	184	1	.284	1	309	1
									1979-08-20T07:05:00.000	1	184	1	.188	1	307	1
									1979-08-20T07:20:00.000	1	184	1	.103	1	284	1
									1979-08-20T07:35:00.000	1	184	1	.071	1	284	1
									1979-08-20T07:50:00.000	1	184	1	.089	1	90	3
									1979-08-20T08:05:00.000	1	184	1	.115	1	146	1
									1979-08-20T08:20:00.000	1	184	1	.164	1	138	1
									1979-08-20T08:35:00.000	1	184	1	.182	1	90	3
									1979-08-20T08:50:00.000	1	184	1	.359	1	304	1
									1979-08-20T09:05:00.000	1	184	1	.31	1	307	1
									1979-08-20T09:20:00.000	1	184	1	.278	1	281	3
									1979-08-20T09:35:00.000	1	184	1	.388	1	304	3
									1979-08-20T09:50:00.000	1	184	1	.307	1	284	3
									1979-08-20T10:05:00.000	1	184	1	.473	1	307	3
									1979-08-20T10:20:00.000	1	184	1	.601	1	281	3
									1979-08-20T10:35:00.000	1	184	1	.554	1	307	3
									1979-08-20T10:50:00.000	1	184	1	.385	1	290	1
									1979-08-20T11:05:00.000	1	184	1	.255	1	93	3
									1979-08-20T11:20:00.000	1	184	1	.228	1	104	1
									1979-08-20T11:35:00.000	1	184	1	.129	1	301	3
									1979-08-20T11:50:00.000	1	184	1	.074	1	205	1
									1979-08-20T12:05:00.000	1	184	1	.135	1	205	1
									1979-08-20T12:20:00.000	1	184	1	.106	1	256	3
									1979-08-20T12:35:00.000	1	184	1	.036	1	197	3
									1979-08-20T12:50:00.000	1	184	1	.034	1	219	3
									1979-08-20T13:05:00.000	1	184	1	.034	1	194	1
									1979-08-20T13:20:00.000	1	184	1	.025	1	180	1
									1979-08-20T13:35:00.000	1	184	1	0	1	6	3
									1979-08-20T13:50:00.000	1	184	1	0	1	203	3
									1979-08-20T14:05:00.000	1	184	1	0	1	65	3
									1979-08-20T14:20:00.000	1	184	1	.045	1	304	1
									1979-08-20T14:35:00.000	1	184	1	.086	1	307	1
									1979-08-20T14:50:00.000	1	184	1	.121	1	290	1
									1979-08-20T15:05:00.000	1	184	1	.17	1	287	1
									1979-08-20T15:20:00.000	1	184	1	.164	1	295	1
									1979-08-20T15:35:00.000	1	184	1	.188	1	290	1
									1979-08-20T15:50:00.000	1	184	1	.255	1	284	1
									1979-08-20T16:05:00.000	1	184	1	.252	1	295	1
									1979-08-20T16:20:00.000	1	184	1	.252	1	307	1
									1979-08-20T16:35:00.000	1	184	1	.275	1	304	1
